População = 64, Experimentos = 150
1 threads
Probabilidade, Percentual Infectado
534.03user 0.31system 2:13.92elapsed 398%CPU (0avgtext+0avgdata 4720maxresident)k
0inputs+0outputs (0major+217minor)pagefaults 0swaps
População = 192, Experimentos = 150
1 threads
Probabilidade, Percentual Infectado
0.000000, 0.000000
0.010000, 0.000001
0.020000, 0.000001
0.030000, 0.000004
0.040000, 0.000006
0.050000, 0.000010
0.060000, 0.000013
0.070000, 0.000025
0.080000, 0.000022
0.090000, 0.006681
0.100000, 0.006693
0.110000, 0.026684
0.120000, 0.066663
0.130000, 0.066681
0.140000, 0.113315
0.150000, 0.173306
0.160000, 0.199991
0.170000, 0.186661
0.180000, 0.213329
0.190000, 0.353304
0.200000, 0.339974
0.210000, 0.386637
0.220000, 0.459964
0.230000, 0.426647
0.240000, 0.586631
0.250000, 0.566647
0.260000, 0.633311
0.270000, 0.593307
0.280000, 0.593316
0.290000, 0.639972
0.300000, 0.733308
0.310000, 0.726645
0.320000, 0.693308
0.330000, 0.753314
0.340000, 0.786648
0.350000, 0.726653
0.360000, 0.726648
0.370000, 0.786651
0.380000, 0.866652
0.390000, 0.813319
0.400000, 0.879982
0.410000, 0.859989
0.420000, 0.859987
0.430000, 0.899987
0.440000, 0.879984
0.450000, 0.886653
0.460000, 0.939993
0.470000, 0.919990
0.480000, 0.933328
0.490000, 0.939994
0.500000, 0.953322
0.510000, 0.933324
0.520000, 0.973326
0.530000, 0.953326
0.540000, 0.946659
0.550000, 0.979995
0.560000, 0.959995
0.570000, 0.966661
0.580000, 0.979998
0.590000, 0.946663
0.600000, 0.986663
0.610000, 0.993330
0.620000, 0.979997
0.630000, 0.966662
0.640000, 0.993329
0.650000, 0.979998
0.660000, 0.986664
0.670000, 0.986664
0.680000, 0.993332
0.690000, 0.986666
0.700000, 0.986665
0.710000, 0.986664
0.720000, 0.999999
0.730000, 0.973333
0.740000, 0.993332
0.750000, 0.999999
0.760000, 0.999999
0.770000, 0.999998
0.780000, 1.000000
0.790000, 0.999999
0.800000, 0.999999
0.810000, 0.999999
0.820000, 0.993333
0.830000, 1.000000
0.840000, 0.993333
0.850000, 1.000000
0.860000, 1.000000
0.870000, 1.000000
0.880000, 1.000000
0.890000, 1.000000
0.900000, 1.000000
0.910000, 0.993333
0.920000, 1.000000
0.930000, 1.000000
0.940000, 1.000000
0.950000, 1.000000
0.960000, 1.000000
0.970000, 1.000000
0.980000, 1.000000
0.990000, 1.000000
1.000000, 1.000000
764.69user 0.21system 12:44.95elapsed 99%CPU (0avgtext+0avgdata 4544maxresident)k
0inputs+0outputs (0major+213minor)pagefaults 0swaps
2 threads
Probabilidade, Percentual Infectado
0.000000, 0.000000
0.010000, 0.000001
0.020000, 0.000001
0.030000, 0.000004
0.040000, 0.000006
0.050000, 0.000010
0.060000, 0.000013
0.070000, 0.000025
0.080000, 0.000022
0.090000, 0.006687
0.100000, 0.013361
0.110000, 0.013367
0.120000, 0.066667
0.130000, 0.066687
0.140000, 0.133328
0.150000, 0.113331
0.160000, 0.140010
0.170000, 0.193329
0.180000, 0.233320
0.190000, 0.293312
0.200000, 0.406648
0.210000, 0.346652
0.220000, 0.373320
0.230000, 0.486636
0.240000, 0.499964
0.250000, 0.493309
0.260000, 0.586621
0.270000, 0.553310
0.280000, 0.539975
0.290000, 0.659979
0.300000, 0.646651
0.310000, 0.626643
0.320000, 0.666649
0.330000, 0.739976
0.340000, 0.786637
0.350000, 0.733310
0.360000, 0.786651
0.370000, 0.773317
0.380000, 0.873314
0.390000, 0.799980
0.400000, 0.879982
0.410000, 0.853322
0.420000, 0.859991
0.430000, 0.859988
0.440000, 0.886655
0.450000, 0.899986
0.460000, 0.886658
0.470000, 0.913323
0.480000, 0.926657
0.490000, 0.953325
0.500000, 0.946661
0.510000, 0.939995
0.520000, 0.919993
0.530000, 0.959993
0.540000, 0.939994
0.550000, 0.959994
0.560000, 0.966661
0.570000, 0.999994
0.580000, 0.979994
0.590000, 0.953329
0.600000, 0.966664
0.610000, 0.933331
0.620000, 0.979997
0.630000, 0.973331
0.640000, 0.973330
0.650000, 0.966664
0.660000, 0.993332
0.670000, 0.993332
0.680000, 0.986665
0.690000, 0.979999
0.700000, 0.993332
0.710000, 0.986666
0.720000, 0.999998
0.730000, 0.986666
0.740000, 0.999999
0.750000, 0.999999
0.760000, 0.999999
0.770000, 0.993332
0.780000, 0.993332
0.790000, 0.993333
0.800000, 0.999999
0.810000, 1.000000
0.820000, 1.000000
0.830000, 0.999999
0.840000, 0.999999
0.850000, 1.000000
0.860000, 0.999999
0.870000, 0.999999
0.880000, 0.999999
0.890000, 0.999999
0.900000, 1.000000
0.910000, 1.000000
0.920000, 1.000000
0.930000, 1.000000
0.940000, 1.000000
0.950000, 1.000000
0.960000, 1.000000
0.970000, 1.000000
0.980000, 1.000000
0.990000, 1.000000
1.000000, 1.000000
887.03user 0.08system 7:23.58elapsed 199%CPU (0avgtext+0avgdata 4688maxresident)k
0inputs+0outputs (0major+220minor)pagefaults 0swaps
4 threads
Probabilidade, Percentual Infectado
0.000000, 0.000000
0.010000, 0.000001
0.020000, 0.000001
0.030000, 0.000004
0.040000, 0.000006
0.050000, 0.000010
0.060000, 0.000013
0.070000, 0.000025
0.080000, 0.000022
0.090000, 0.013353
0.100000, 0.006681
